id,eigenvector,betweenness
AGAP000002,0.008787135,2.91E-05
AGAP000005,0.013750498,0.000171241
AGAP000007,7.90E-06,0
AGAP000008,0.000383447,1.22E-06
AGAP000009,0.013802427,0.000654142
AGAP000010,0.000101576,0
AGAP000011,0.028812269,7.34E-05
AGAP000012,0.000156442,4.72E-05
AGAP000013,0.002796483,0.000830249
AGAP000014,9.20E-05,1.04E-05
AGAP000015,0.000112631,4.18E-05
AGAP000016,1.88E-05,0.000198007
AGAP000017,0.005300176,0.000134618
AGAP000018,2.35E-06,2.88E-06
AGAP000019,0.000924483,9.16E-05
AGAP000021,5.62E-05,1.15E-07
AGAP000022,0.00158626,1.47E-05
AGAP000023,0.000198338,5.75E-08
AGAP000025,0.004387554,0.000258465
AGAP000028,0.000432169,3.62E-06
AGAP000029,0.000343421,9.01E-06
AGAP000032,1.55E-05,0
AGAP000033,0.000281423,1.65E-05
AGAP000035,8.94E-05,6.18E-05
AGAP000037,0.000828287,8.03E-06
AGAP000038,0.000896072,0.000120666
AGAP000039,0.0005956,0.000189861
AGAP000041,7.96E-05,1.29E-07
AGAP000043,0.003311106,2.14E-05
AGAP000044,4.86E-05,1.39E-06
AGAP000045,3.02E-05,0
AGAP000046,1.32E-06,0
AGAP000047,0.000188474,2.16E-07
AGAP000049,0.005368138,0.000322804
AGAP000051,0.024065412,0.000405466
AGAP000053,0.000190736,1.43E-06
AGAP000056,0.00146321,3.56E-05
AGAP000058,0.005273601,5.41E-05
AGAP000061,0.000543412,5.54E-05
AGAP000062,0.000206066,2.19E-05
AGAP000063,0.002153205,8.80E-06
AGAP000064,6.59E-06,2.82E-06
AGAP000065,0.000236801,0
AGAP000066,2.36E-06,0
AGAP000067,0.000119466,6.88E-05
AGAP000068,0.001168206,8.99E-05
AGAP000069,0.001008125,0.000199003
AGAP000070,1.32E-05,5.00E-05
AGAP000071,0.002909827,1.54E-06
AGAP000072,0.002288363,1.84E-05
AGAP000073,0.000227793,7.82E-06
AGAP000074,0.001809617,0
AGAP000075,3.44E-05,0
AGAP000076,2.22E-05,0
AGAP000078,0.000566712,8.16E-06
AGAP000079,2.49E-05,0.000289249
AGAP000080,0.050813373,0.000656968
AGAP000081,0.000205011,6.90E-07
AGAP000082,0.000201911,2.58E-05
AGAP000085,0.019536474,7.62E-05
AGAP000088,0.007874364,4.54E-05
AGAP000090,2.72E-05,7.34E-06
AGAP000091,0.001191275,0.000113366
AGAP000092,0.00018292,0.00016965
AGAP000093,0.001538536,7.87E-05
AGAP000094,0.00064178,0.000161543
AGAP000095,0.000424261,5.39E-07
AGAP000096,0.004253822,6.80E-05
AGAP000097,0.004071414,0.001029976
AGAP000098,7.57E-07,1.44E-08
AGAP000099,0.00137888,3.24E-05
AGAP000100,8.03E-05,0.000135394
AGAP000102,0.000177467,1.41E-06
AGAP000104,0.000212292,0.00026234
AGAP000105,5.92E-05,0.000179491
AGAP000106,0.00033929,7.62E-06
AGAP000107,1.17E-07,0
AGAP000108,0.000866066,2.64E-05
AGAP000109,0.017042657,0.001489324
AGAP000110,0.000603546,0.000192773
AGAP000111,9.56E-05,7.30E-05
AGAP000113,0.032568858,0.000401051
AGAP000114,0.001278663,2.67E-06
AGAP000115,0.000742386,3.71E-05
AGAP000116,6.29E-05,1.14E-05
